node_id,label,cluster,degree_centrality,pagerank,closeness_centrality,betweenness_centrality,clustering_coefficient,within_cluster_degree,within_cluster_pagerank,within_cluster_closeness,participation_coefficient
1417,"Murray, 1978",5,0.07017543859649122,0.00432027755697975,0.41155234657039713,0.0006819677276877648,0.6785714285714286,0.5384615384615385,0.0665440293289235,0.6842105263157895,0.21875
1462,"Smyth, 2007",3,0.16666666666666666,0.007699047058994805,0.5112107623318386,0.017945620256032503,0.4444444444444444,0.47368421052631576,0.03866265673402776,0.6551724137931034,0.5484764542936289
1499,"Williams, 2013",1,0.14912280701754385,0.007825075039780749,0.4810126582278481,0.003292659807163528,0.625,0.48,0.04541073046429799,0.6578947368421053,0.44290657439446357
1528,"Wolfe, 2014",2,0.18421052631578946,0.009103514171125968,0.47107438016528924,0.0026785902658497266,0.6952380952380952,0.9047619047619047,0.05760845677047832,0.9130434782608695,0.1768707482993196
1538,"Hall, 2022",6,0.11403508771929824,0.005849793406708542,0.4769874476987448,0.004309242916704755,0.41025641025641024,0.38461538461538464,0.04688861061360682,0.6190476190476191,0.7455621301775148
1583,"Robinson, 2011",5,0.17543859649122806,0.007521548458868726,0.4634146341463415,0.0021869288282105642,0.6368421052631579,0.5384615384615385,0.06482535180782095,0.6842105263157895,0.565
1584,"Robinson, 1998",5,0.16666666666666666,0.007835556550395539,0.4596774193548387,0.0047643180062418465,0.543859649122807,1.0,0.11402786123116092,1.0,0.48199445983379496
1598,"Cummings, 2002",3,0.2894736842105263,0.011589296868671198,0.5327102803738317,0.009227967264767418,0.5018939393939394,0.6842105263157894,0.05266453199229443,0.76,0.6446280991735538
1618,"Dewald, 2012",2,0.13157894736842105,0.006746578034415084,0.44881889763779526,0.00019228555162981696,0.9523809523809523,0.6666666666666666,0.04356634491054858,0.75,0.12444444444444436
1732,"Bessière, 2008",6,0.2543859649122807,0.010342954330067359,0.5533980582524272,0.005596309255157681,0.5714285714285714,0.5384615384615385,0.0607658283106284,0.6842105263157895,0.7348394768133175
1741,"Hampton, 2013",5,0.16666666666666666,0.007209909177515953,0.47107438016528924,0.0012301020025617879,0.7719298245614035,0.5384615384615385,0.06482535180782095,0.6842105263157895,0.6426592797783934
1798,"Hale, 2015",2,0.3684210526315789,0.01732169255490772,0.5906735751295337,0.07023093125555963,0.3008130081300813,1.0,0.0637134571816919,1.0,0.6405895691609977
1893,"Hu, 1999",3,0.4122807017543859,0.016588780816499026,0.6298342541436464,0.067730333737119,0.3635522664199815,0.7894736842105263,0.059298504634790916,0.8260869565217391,0.7976459936622906
1897,"Exelmans, 2016",2,0.13157894736842105,0.0067009022831498715,0.5,0.0031174957303740976,0.5238095238095238,0.3333333333333333,0.025973280370913412,0.6,0.7022222222222222
1898,"Exelmans, 2017",2,0.10526315789473684,0.00575770431141754,0.4596774193548387,0.0014663564751184162,0.803030303030303,0.5238095238095237,0.03665735961576281,0.6774193548387096,0.1527777777777779
1954,"Jones, 1986",1,0.09649122807017543,0.005980108693520375,0.42066420664206644,0.0017989904188048156,0.5454545454545454,0.36,0.03799474247010035,0.6097560975609756,0.2975206611570247
1969,"Dworak, 2007",2,0.14035087719298245,0.007297620557439444,0.43018867924528303,0.0014010595209265812,0.7166666666666667,0.7142857142857142,0.0468954094178159,0.7777777777777778,0.1171875
1970,"Hughes, 2004",3,0.17543859649122806,0.00744589108457588,0.49137931034482757,0.0019495758735664744,0.6263157894736842,0.5263157894736842,0.04164333688424787,0.6785714285714286,0.635
1985,"Gradisar, 2013",2,0.14035087719298245,0.007230027176528883,0.4672131147540984,0.0032943224606734956,0.6666666666666666,0.6190476190476191,0.042291473588232834,0.7241379310344828,0.3203125
